### ACCOUNTS
NAME	TYPE	INITIAL_BALANCE	CURRENT_BALANCE	COLOR	ICON
Bank HDFC	BANK	0	27729	#2196F3	bank
Bank SBI	BANK	0	40000	#4CAF50	bank
Wallet	CASH	0	5000	#FF9800	wallet

### BUDGETS
CATEGORY	LIMIT_AMOUNT	MONTH	YEAR
Food	5000	2	2026
Health	3000	2	2026

### TRANSACTIONS
TIME	TYPE	AMOUNT	CATEGORY	ACCOUNT	NOTES
Feb 16, 2026 04:51 pm	(-) Expense	10	Food	Bank HDFC	Food
Feb 15, 2026 06:30 pm	(-) Expense	1	Cats	Bank HDFC	Cats
Feb 12, 2026 07:20 pm	(-) Expense	260	Food	Bank HDFC	Food
Feb 11, 2026 11:44 pm	(-) Expense	19000	Rent	Bank HDFC	Rent
Feb 11, 2026 11:44 pm	(-) Expense	5000	Health	Bank HDFC	Health
Feb 11, 2026 11:44 pm	(-) Expense	2000	Shopping	Bank HDFC	Shopping
Feb 11, 2026 11:44 pm	(-) Expense	5000	Food	Bank HDFC	Food
Feb 11, 2026 11:44 pm	(-) Expense	24000	Bike	Bank HDFC	Bike
Feb 11, 2026 11:43 pm	(*) Transfer	5000	  -  	Bank HDFC->Wallet	Transfer
Feb 11, 2026 11:42 pm	(*) Transfer	40000	  -  	Bank HDFC->Bank SBI	Transfer
Feb 11, 2026 11:42 pm	(+) Income	128000	Salary	Bank HDFC	Salary
